ticker,source,security_name,description,tag
CL=F,Yahoo Finance,Crude Oil (WTI),"WTI crude oil futures (NYMEX), USD/bbl",Energy
BZ=F,Yahoo Finance,Brent,"Brent crude oil futures (ICE), USD/bbl",Energy
NG=F,Yahoo Finance,Natural Gas,"Henry Hub natural gas futures (NYMEX), USD/MMBtu",Energy
RB=F,Yahoo Finance,Gasoline,"RBOB gasoline futures (NYMEX), USD/gal",Energy
HO=F,Yahoo Finance,Heating Oil,"Heating oil futures (NYMEX), USD/gal",Energy
,,Coal,Newcastle/API thermal coal benchmark - no free ticker; needs Trading Economics/Platts/Argus.,Energy
,,TTF Gas,"Dutch TTF natural gas hub price - OTC European benchmark, no free ticker.",Energy
,,UK Gas,"UK NBP natural gas hub price - OTC benchmark, no free ticker.",Energy
,,Ethanol,"Denatured fuel ethanol futures - checked EH=F on Yahoo, delisted/no data.",Energy
,,Naphtha,"Naphtha petrochemical feedstock - OTC benchmark, no free ticker.",Energy
,,Propane,"Propane (Mont Belvieu) - OTC benchmark, no free ticker.",Energy
,,Uranium,"Uranium spot/futures - checked UX=F on Yahoo, delisted/no data.",Energy
,,Methanol,"Methanol - OTC petrochemical benchmark, no free ticker.",Energy
,,Coking Coal,Metallurgical/coking coal benchmark - no free ticker.,Energy
,,LNG JKM,"Japan-Korea Marker LNG benchmark - OTC/Platts assessment, no free ticker.",Energy
,,German Gas,"German gas hub price (THE) - OTC benchmark, no free ticker.",Energy
,,Urals Oil,"Russian Urals crude blend - OTC/Platts assessment, no free ticker.",Energy
GC=F,Yahoo Finance,Gold,"Gold futures (COMEX), USD/troy oz",Metals
SI=F,Yahoo Finance,Silver,"Silver futures (COMEX), USD/troy oz",Metals
HG=F,Yahoo Finance,Copper,"Copper futures (COMEX), USD/lb",Metals
,,Steel,Generic steel benchmark - HRC Steel (below) is the only steel contract Yahoo Finance carries.,Metals
LTH=F,Yahoo Finance,Lithium,"Lithium Hydroxide CIF CJK futures (CME/Fastmarkets), USD/kg",Metals
,,Iron Ore CNY,"Dalian Commodity Exchange RMB-denominated iron ore futures - no free ticker (see Iron Ore, USD, below).",Metals
PL=F,Yahoo Finance,Platinum,"Platinum futures (NYMEX), USD/troy oz",Metals
,,Cobalt Hydroxide,"Cobalt hydroxide payable - Fastmarkets assessment, no free ticker.",Metals
HRC=F,Yahoo Finance,HRC Steel,"US Midwest domestic hot-rolled coil steel futures (CME), USD/short ton",Metals
TIO=F,Yahoo Finance,Iron Ore,"Iron ore 62% Fe CFR China futures (SGX/TSI), USD/dry metric ton",Metals
,,Silicon,Metallurgical-grade silicon - no free ticker.,Metals
,,Scrap Steel,Steel scrap (e.g. CME Busheling) - no free ticker found on Yahoo.,Metals
,,Titanium,Titanium sponge/dioxide - no free ticker.,Metals
ZS=F,Yahoo Finance,Soybeans,"Soybean futures (CBOT), cents/bu",Agricultural
ZW=F,Yahoo Finance,Wheat,"Chicago SRW wheat futures (CBOT), cents/bu",Agricultural
LBR=F,Yahoo Finance,Lumber,"Lumber futures (CME), USD/1,000 board ft",Agricultural
,,Palm Oil,Bursa Malaysia crude palm oil futures - not mirrored on Yahoo Finance.,Agricultural
CSC=F,Yahoo Finance,Cheese,"Cash-settled cheese futures (CME), cents/lb",Agricultural
DC=F,Yahoo Finance,Milk,"Class III milk futures (CME), USD/cwt",Agricultural
,,Rubber,TOCOM/SICOM natural rubber futures - no free ticker.,Agricultural
OJ=F,Yahoo Finance,Orange Juice,"Frozen concentrated orange juice futures (ICE), cents/lb",Agricultural
KC=F,Yahoo Finance,Coffee,"Arabica coffee futures (ICE), cents/lb",Agricultural
CT=F,Yahoo Finance,Cotton,"Cotton No. 2 futures (ICE), cents/lb",Agricultural
